Type,Response,Actual Max,Actual Min
Piechart,0.9,0.8616168027219142,0.6836124380732194
Piechart,0.9,0.9197767478126033,0.8101124006232905
Piechart,0.75,0.7734688201189057,0.49427370793933245
Piechart,0.25,0.8095500587758746,0.3096389674041564
Piechart,0.125,0.572934734653124,0.12058863303718148
Piechart,0.33,0.38479635304469806,0.1265841566423378
Piechart,0.66,0.9745675157208185,0.6499314455084215
Piechart,0.5,0.5142116380387438,0.4991674020333461
Piechart,0.33,0.7564110594288871,0.28664373993994663
Piechart,0.99,0.8569275436868313,0.7913003677564641
Piechart,0.75,0.6753980262367929,0.41839960042734714
Piechart,0.05,0.39966544382799807,0.0073561337312131325
Piechart,0.8,0.8915159915525617,0.7477450708062392
Piechart,0.11,0.839379420687685,0.178760899483573
Piechart,0.95,0.4141625645522675,0.4090358624667121
Piechart,0.8,0.8901004520683049,0.6073799536274536
Piechart,0.6,0.9189531969179863,0.6035982393316608
Piechart,0.25,0.6897614950100179,0.21095382048083255
Piechart,0.9,0.40549026176215763,0.288127260800797
Piechart,0.8,0.4674005103219636,0.40786289451852564
Boxplot,0.5,0.6140150623913481,0.32904766154334575
Boxplot,0.75,0.7051146368194199,0.6378854842708506
Boxplot,0.66,0.8110241307188453,0.5898497626953609
Boxplot,0.6,0.7052732826761279,0.5177940848179283
Boxplot,0.9,0.9813346114700658,0.8677757013997147
Boxplot,0.9,0.7750440161113044,0.4489345243205012
Boxplot,0.7,0.9474167337062107,0.6975738488173691
Boxplot,0.95,0.8856044242512742,0.5684992076731352
Boxplot,0.95,0.5701959899236702,0.5174522106944512
Boxplot,0.93,0.9447818956163672,0.844282030045947
Boxplot,0.68,0.6692371372319841,0.5587314241342631
Boxplot,0.33,0.7048847682285726,0.27627738038553207
Boxplot,0.6,0.9877053126015578,0.8003865196629831
Boxplot,0.85,0.566398621559228,0.495004699796755
Boxplot,0.65,0.7289334257731288,0.3885433679658379
Boxplot,0.9,0.623109166541501,0.5498215509609117
Boxplot,0.75,0.8717717730255006,0.646570361739752
Boxplot,0.95,0.7545026140858799,0.7206281243710251
Boxplot,0.95,0.6497574597629354,0.6294982757035943
Boxplot,0.8,0.6309323200865198,0.5116677182455891
Barchart,0.1,0.9207060988199729,0.1861075653891493
Barchart,0.15,0.9826913570614029,0.6433667724663732
Barchart,0.4,0.6861774404575116,0.07463351556418041
Barchart,0.12,0.9675211768427214,0.3162560538167023
Barchart,0.25,0.9694396017631168,0.8900824297025303
Barchart,0.12,0.9737581461704135,0.30210057072412244
Barchart,0.8,0.6983670296132123,0.5825181674707156
Barchart,0.66,0.7224348331383756,0.5812554404034145
Barchart,0.5,0.8505012417019877,0.7067641201972827
Barchart,0.9,0.9237108505443343,0.9162230941492853
Barchart,0.25,0.8113456189557942,0.1548772806307681
Barchart,0.75,0.4495381846149853,0.08611133036068885
Barchart,0.8,0.569857959495802,0.42019431688663933
Barchart,0.75,0.6143176908926493,0.4983136252226521
Barchart,0.5,0.5993628307907974,0.07024188528954411
Barchart,0.22,0.8605288071603545,0.3245393406129671
Barchart,0.75,0.7177295439942353,0.5624136632851624
Barchart,0.8,0.3871537112055756,0.21322927072089914
Barchart,0.15,0.9570907629523902,0.37505986329828245
Barchart,0.25,0.7806895175215982,0.14690227490626984
Piechart,0.85,0.0766088778444396,0.07284500786713344
Piechart,0.05,0.8454131148549904,0.05497370108576982
Piechart,0.5,0.42376744561771673,0.2311757378282242
Piechart,0.2,0.14807358395378745,0.03702914945440483
Piechart,0.5,0.3890245250591522,0.35483135665797527
Piechart,0.75,0.2602447275656039,0.2021036729030985
Piechart,0.9,0.28743892316551567,0.2767643384611502
Piechart,0.1,0.1183811102076251,0.08578960874305253
Piechart,0.01,0.146574774880051,0.0048039993859603225
Piechart,0.075,0.2086727604191636,0.02020012902940893
Piechart,0.2,0.28969214424627365,0.06712614696370256
Piechart,0.75,0.8528279575125017,0.6896892484291937
Piechart,0.6,0.6448927233456194,0.4900863207675561
Piechart,0.75,0.9970089480349675,0.667617216663771
Piechart,0.75,0.5295697470326839,0.34353059341081194
Piechart,0.1,0.8243834400882744,0.06902764662706762
Piechart,0.35,0.9869312558454137,0.36062774202602066
Piechart,0.75,0.961506511245978,0.6803559889684436
Piechart,0.8,0.7484164864942104,0.4091499986532865
Piechart,0.95,0.05704645883184578,0.050163566873492105
Boxplot,0.35,0.5681043331714632,0.3909774017105976
Boxplot,0.9,0.8206063144443305,0.6162477772364565
Boxplot,0.5,0.7567891007100822,0.4138276658062283
Boxplot,0.85,0.6956478965225554,0.6899745755217286
Boxplot,0.6,0.7367027208576107,0.546971124825754
Boxplot,0.9,0.9000816608990323,0.6666182553643549
Boxplot,0.8,0.5784929027046526,0.2708205842658682
Boxplot,0.6,0.6135067457120797,0.5447255936971005
Boxplot,0.9,0.6025239932672479,0.541156440711209
Boxplot,0.7,0.7342483301966076,0.6636154606227416
Boxplot,0.2,0.78065981313524,0.7409616550262992
Boxplot,0.2,0.736782729430183,0.555408280802473
Boxplot,0.5,0.5266514806962643,0.5055858370388076
Boxplot,0.6,0.6652428222090905,0.6455629121737281
Boxplot,0.3,0.8078577520132877,0.6171293161854765
Boxplot,0.5,0.303176744808209,0.2504007793295655
Boxplot,0.5,0.6320107341950343,0.4609370110293949
Boxplot,0.5,0.8367007789870455,0.5364322571276272
Boxplot,0.8,0.5987494899625887,0.5149208687611384
Boxplot,0.3,0.9714638313660171,0.2855425811540149
Barchart,0.15,0.873368545697033,0.1446152400877554
Barchart,0.15,0.951168336734413,0.5893143786097226
Barchart,0.4,0.744511031958849,0.3556276529404896
Barchart,0.95,0.7601767407250399,0.7471856726207025
Barchart,0.95,0.3947404906239831,0.36431186180626174
Barchart,0.65,0.40809185479327814,0.020365404327709058
Barchart,0.15,0.8174473228834682,0.11311655484142435
