Type,Response,Actual Max,Actual Min,Actual Dif,Error,cm-error
Piechart,0.9,0.8616168027219142,0.6836124380732194,0.7934065769302951,0.10659342306970487,3.4308662899851936
Piechart,0.9,0.9197767478126032,0.8101124006232905,0.8807706897895445,0.019229310210455486,1.0341671229202132
Piechart,0.75,0.7734688201189057,0.4942737079393325,0.6390350781862773,0.11096492181372275,3.4881926264069207
Piechart,0.25,0.8095500587758746,0.3096389674041564,0.38248279281501546,0.13248279281501546,3.741281369074381
Piechart,0.125,0.572934734653124,0.12058863303718148,0.21047533993586606,0.08547533993586606,3.11645359043039
Piechart,0.33,0.3847963530446981,0.1265841566423378,0.3289640238030887,0.0010359761969113146,-2.1291177135470414
Piechart,0.66,0.9745675157208183,0.6499314455084215,0.6668921701414534,0.00689217014145338,-0.2965147260664775
Piechart,0.5,0.5142116380387438,0.4991674020333461,0.9707431047986818,0.47074310479868176,5.560693878742681
Piechart,0.33,0.7564110594288871,0.28664373993994663,0.3789523386349893,0.04895233863498927,2.3277545725129833
Piechart,0.99,0.8569275436868313,0.7913003677564641,0.9234157235184506,0.06658427648154941,2.762014447612936
Piechart,0.75,0.6753980262367929,0.4183996004273472,0.6194859685311803,0.13051403146881968,3.7198846966178234
Piechart,0.05,0.3996654438279981,0.0073561337312131325,0.0184057287033776,0.0315942712966224,1.715641757376124
Piechart,0.8,0.8915159915525617,0.7477450708062392,0.8387343333057351,0.03873433330573506,1.9994348327609155
Piechart,0.11,0.839379420687685,0.178760899483573,0.21296793211479753,0.10296793211479753,3.3815316291954454
Piechart,0.95,0.4141625645522675,0.4090358624667121,0.9876215222611979,0.03762152226119797,1.9587136066654924
Piechart,0.8,0.8901004520683049,0.6073799536274536,0.6823723684401007,0.1176276315598993,3.5714053728513906
Piechart,0.6,0.9189531969179864,0.6035982393316608,0.656832405998507,0.05683240599850703,2.5381012165950243
Piechart,0.25,0.6897614950100179,0.21095382048083253,0.3058358896617862,0.05583588966178621,2.513134188133774
Piechart,0.9,0.4054902617621576,0.288127260800797,0.7105651799100406,0.18943482008995938,4.253118094004139
Piechart,0.8,0.4674005103219636,0.4078628945185256,0.8726197030413463,0.07261970304134624,2.8849827779810275
Boxplot,0.5,0.6140150623913481,0.3290476615433457,0.5358950972014171,0.03589509720141715,1.8931718013430978
Boxplot,0.75,0.7051146368194199,0.6378854842708506,0.9046550035440738,0.1546550035440738,3.9625953248626744
Boxplot,0.66,0.8110241307188453,0.5898497626953609,0.727290027945965,0.06729002794596495,2.7769467800901895
Boxplot,0.6,0.7052732826761279,0.5177940848179283,0.7341751028100509,0.13417510281005096,3.759423280940887
Boxplot,0.9,0.9813346114700658,0.8677757013997147,0.8842811526842645,0.015718847315735474,0.7628885667454416
Boxplot,0.9,0.7750440161113044,0.4489345243205012,0.5792374561808494,0.3207625438191506,5.009044983703032
Boxplot,0.7,0.9474167337062108,0.6975738488173691,0.736290403156087,0.036290403156087,1.908444143726706
Boxplot,0.95,0.8856044242512742,0.5684992076731352,0.6419335677481145,0.30806643225188546,4.9510115726682145
Boxplot,0.95,0.5701959899236702,0.5174522106944512,0.9074988597582394,0.04250114024176055,2.1293206169380388
Boxplot,0.93,0.9447818956163672,0.844282030045947,0.8936263850559341,0.03637361494406599,1.9116384722349316
Boxplot,0.68,0.6692371372319841,0.5587314241342631,0.834878091860262,0.1548780918602619,3.9646582372076993
Boxplot,0.33,0.7048847682285726,0.2762773803855321,0.3919468725077399,0.06194687250773989,2.6598531639527296
Boxplot,0.6,0.9877053126015578,0.8003865196629831,0.8103495136163762,0.21034951361637622,4.403264406157597
Boxplot,0.85,0.566398621559228,0.49500469979675504,0.8739511025540033,0.023951102554003345,1.3334868533441122
Boxplot,0.65,0.7289334257731288,0.3885433679658379,0.5330299780857725,0.11697002191422756,3.5634024880185495
Boxplot,0.9,0.623109166541501,0.5498215509609117,0.8823839874040625,0.01761601259593748,0.9157895360309882
Boxplot,0.75,0.8717717730255006,0.646570361739752,0.7416738895959171,0.008326110404082931,-0.0624883095123008
Boxplot,0.95,0.7545026140858799,0.7206281243710251,0.9551035489043394,0.0051035489043393945,-0.6543654311146505
Boxplot,0.95,0.6497574597629354,0.6294982757035943,0.9688203902010871,0.018820390201087167,1.0050686653154342
Boxplot,0.8,0.6309323200865198,0.5116677182455891,0.8109708473571683,0.010970847357168245,0.2893443208032888
Barchart,0.1,0.8138924346108507,0.07929390118002722,0.0974255292321771,0.0025744707678229117,-1.3866679741312524
Barchart,0.15,0.3566332275336268,0.01730864293859724,0.04853345566900441,0.10146654433099558,3.360596667020211
Barchart,0.4,0.9253664844358196,0.3138225595424884,0.3391332675440701,0.06086673245592994,2.6349819412253535
Barchart,0.12,0.6837439461832977,0.03247882315727857,0.04750144164138846,0.07249855835861153,2.882614847745431
Barchart,0.25,0.10991757029746974,0.03056039823688317,0.278030147083652,0.02803014708365198,1.5499228007641117
Barchart,0.12,0.6978994292758776,0.026241853829586437,0.03760119686129319,0.0823988031387068,3.0643448980854417
Barchart,0.8,0.4174818325292844,0.3016329703867877,0.7225056203269147,0.07749437967308537,2.9771769557903616
Barchart,0.66,0.4187445595965855,0.27756516686162436,0.6628508012833121,0.0028508012833120544,-1.286022259665609
Barchart,0.5,0.29323587980271726,0.1494987582980123,0.5098242356924119,0.009824235692411865,0.14720713211507164
Barchart,0.9,0.08377690585071484,0.07628914945566556,0.910622667201484,0.01062266720148397,0.24764407365703806
Barchart,0.25,0.8451227193692319,0.18865438104420584,0.22322720324571377,0.026772796754286232,1.4866009479952564
