type,true,predicted,logError,user
Plain,6,10,2.0443941193584534,u9
Grayscale,39,40,0.16992500144231237,u9
Colored,14,15,0.16992500144231237,u9
Colored,77,80,1.6438561897747248,u9
Colored,18,20,1.0874628412503393,u9
Grayscale,22,25,1.6438561897747248,u9
Plain,49,55,2.6147098441152083,u9
Colored,82,85,1.6438561897747248,u9
Grayscale,71,75,2.0443941193584534,u9
Plain,56,60,2.0443941193584534,u9
Plain,54,60,2.6147098441152083,u9
Colored,59,60,0.16992500144231237,u9
Colored,3,7,2.0443941193584534,u9
Grayscale,97,95,0.9068905956085185,u9
Grayscale,4,7,1.6438561897747248,u9
Plain,7,10,1.6438561897747248,u9
Colored,13,15,1.0874628412503393,u9
Plain,21,20,-0.19264507794239588,u9
Grayscale,59,65,2.6147098441152083,u9
Grayscale,64,66,1.0874628412503393,u9
Colored,20,20,0.0,u9
Grayscale,7,10,1.6438561897747248,u9
Plain,20,20,0.0,u9
Grayscale,95,92,1.5235619560570128,u9
Grayscale,67,70,1.6438561897747248,u9
Colored,70,75,2.357552004618084,u9
Plain,60,66,2.6147098441152083,u9
Grayscale,79,85,2.6147098441152083,u9
Grayscale,70,75,2.357552004618084,u9
Plain,17,20,1.6438561897747248,u9
Colored,43,50,2.8328900141647417,u9
Grayscale,50,60,3.3398500028846247,u9
Plain,55,66,3.4757334309663976,u9
Plain,92,92,0.0,u9
Grayscale,0,0,0.0,u9
Grayscale,34,40,2.6147098441152083,u9
Colored,16,0,3.988684686772166,u9
Plain,25,30,2.357552004618084,u9
Colored,94,92,0.9068905956085185,u9
Colored,54,60,2.6147098441152083,u9
Colored,65,65,0.0,u9
Grayscale,41,40,-0.19264507794239588,u9
Colored,60,60,0.0,u9
Grayscale,80,80,0.0,u9
Plain,14,15,0.16992500144231237,u9
Grayscale,8,15,2.8328900141647417,u9
Grayscale,27,33,2.6147098441152083,u9
Colored,63,66,1.6438561897747248,u9
Colored,15,15,0.0,u9
Plain,18,20,1.0874628412503393,u9
Plain,33,33,0.0,u9
Colored,65,66,0.16992500144231237,u9
Colored,44,50,2.6147098441152083,u9
Plain,10,10,0.0,u9
Plain,60,66,2.6147098441152083,u9
Plain,100,100,0.0,u9
Plain,82,85,1.6438561897747248,u9
Colored,86,84,0.9068905956085185,u10
Grayscale,91,87,1.9541963103868751,u10
Colored,13,21,3.0223678130284544,u10
Colored,77,76,-0.19264507794239588,u10
Colored,0,5,2.357552004618084,u10
Colored,86,90,2.0443941193584534,u10
Plain,36,33,1.5235619560570128,u10
Grayscale,33,29,1.9541963103868751,u10
Grayscale,27,28,0.16992500144231237,u10
Colored,68,68,0.0,u10
Colored,78,87,3.189824558880017,u10
Colored,68,78,3.3398500028846247,u10
Plain,10,19,3.189824558880017,u10
Grayscale,12,22,3.3398500028846247,u10
Grayscale,73,74,0.16992500144231237,u10
Colored,35,38,1.6438561897747248,u10
Plain,3,11,3.0223678130284544,u10
Plain,29,34,2.357552004618084,u10
Colored,50,48,0.9068905956085185,u10
Colored,74,72,0.9068905956085185,u10
Colored,90,93,1.6438561897747248,u10
Plain,96,98,1.0874628412503393,u10
Plain,93,99,2.6147098441152083,u10
Plain,48,53,2.357552004618084,u10
Plain,18,23,2.357552004618084,u10
Colored,83,82,-0.19264507794239588,u10
Grayscale,100,98,0.9068905956085185,u10
Grayscale,63,69,2.6147098441152083,u10
Colored,55,54,-0.19264507794239588,u10
Colored,1,5,2.0443941193584534,u10
Grayscale,50,53,1.6438561897747248,u10
Colored,24,36,3.599912842187128,u10
Plain,17,22,2.357552004618084,u10
Plain,7,11,2.0443941193584534,u10
Colored,66,65,-0.19264507794239588,u10
Colored,10,16,2.6147098441152083,u10
Grayscale,62,66,2.0443941193584534,u10
Plain,76,77,0.16992500144231237,u10
Colored,39,29,3.303780748177103,u10
Colored,56,53,1.5235619560570128,u10
Grayscale,51,51,0.0,u10
Grayscale,22,24,1.0874628412503393,u10
Grayscale,30,35,2.357552004618084,u10
Grayscale,58,61,1.6438561897747248,u10
Plain,44,49,2.357552004618084,u10
Grayscale,70,73,1.6438561897747248,u10
Grayscale,33,32,-0.19264507794239588,u10
Plain,44,48,2.0443941193584534,u10
Grayscale,76,83,2.8328900141647417,u10
Grayscale,100,99,-0.19264507794239588,u10
Plain,17,21,2.0443941193584534,u10
Grayscale,46,52,2.6147098441152083,u10
Grayscale,39,43,2.0443941193584534,u10
Grayscale,19,24,2.357552004618084,u10
Plain,59,63,2.0443941193584534,u10
Plain,43,50,2.8328900141647417,u10
Plain,1,3,1.0874628412503393,u10
Plain,41,47,2.6147098441152083,u10
Plain,31,35,2.0443941193584534,u10
Plain,12,23,3.4757334309663976,u10
Grayscale,17,20,1.6438561897747248,u11
Plain,38,33,2.2854022188622483,u11
Plain,88,90,1.0874628412503393,u11
Plain,96,96,0.0,u11
Plain,84,93,3.189824558880017,u11
Plain,70,83,3.7142455176661224,u11
Plain,29,30,0.16992500144231237,u11
Plain,88,93,2.357552004618084,u11
Plain,67,70,1.6438561897747248,u11
Plain,21,18,1.5235619560570128,u11
Grayscale,74,80,2.6147098441152083,u11
Grayscale,16,15,-0.19264507794239588,u11
Plain,26,26,0.0,u11
Grayscale,93,95,1.0874628412503393,u11
Colored,78,90,3.599912842187128,u11
Grayscale,35,40,2.357552004618084,u11
Plain,60,70,3.3398500028846247,u11
Plain,37,42,2.357552004618084,u11
Colored,58,60,1.0874628412503393,u11
Colored,13,23,3.3398500028846247,u11
Plain,39,43,2.0443941193584534,u11
Grayscale,43,48,2.357552004618084,u11
Colored,8,13,2.357552004618084,u11
Plain,19,23,2.0443941193584534,u11
Colored,27,31,2.0443941193584534,u11
Grayscale,13,18,2.357552004618084,u11
Colored,87,89,1.0874628412503393,u11
Plain,23,25,1.0874628412503393,u11
Grayscale,36,33,1.5235619560570128,u11
Grayscale,61,58,1.5235619560570128,u11
Plain,33,45,3.599912842187128,u11
Colored,0,0,0.0,u11
Colored,0,0,0.0,u11
Grayscale,71,70,-0.19264507794239588,u11
Plain,71,68,1.5235619560570128,u11
Plain,27,33,2.6147098441152083,u11
Plain,33,31,0.9068905956085185,u11
Colored,0,0,0.0,u11
Colored,0,0,0.0,u11
Grayscale,67,80,3.7142455176661224,u11
Colored,44,40,1.9541963103868751,u11
Colored,21,20,-0.19264507794239588,u11
Plain,20,22,1.0874628412503393,u11
Colored,90,93,1.6438561897747248,u11
Grayscale,36,43,2.8328900141647417,u11
Grayscale,11,12,0.16992500144231237,u11
Grayscale,86,89,1.6438561897747248,u11
Grayscale,67,75,3.0223678130284544,u11
Colored,63,64,0.16992500144231237,u11
Colored,78,85,2.8328900141647417,u11
Colored,46,66,4.330916878114617,u11
Colored,66,75,3.189824558880017,u11
Colored,22,18,1.9541963103868751,u11
Colored,52,66,3.820178962415188,u11
Grayscale,52,58,2.6147098441152083,u11
Grayscale,99,98,-0.19264507794239588,u11
Grayscale,0,0,0.0,u11
Grayscale,75,86,3.4757334309663976,u11
Grayscale,20,25,2.357552004618084,u11
Colored,18,20,1.0874628412503393,u11
Colored,93,92,-0.19264507794239588,u12
Plain,60,65,2.357552004618084,u12
Plain,3,5,1.0874628412503393,u12
Colored,60,60,0.0,u12
Grayscale,29,30,0.16992500144231237,u12
Plain,8,10,1.0874628412503393,u12
Grayscale,55,60,2.357552004618084,u12
Grayscale,98,99,0.16992500144231237,u12
Colored,54,60,2.6147098441152083,u12
Plain,28,30,1.0874628412503393,u12
Colored,91,90,-0.19264507794239588,u12
Colored,60,70,3.3398500028846247,u12
Colored,15,20,2.357552004618084,u12
Plain,44,50,2.6147098441152083,u12
Colored,67,70,1.6438561897747248,u12
Grayscale,73,80,2.8328900141647417,u12
Grayscale,45,50,2.357552004618084,u12
Colored,56,40,3.988684686772166,u12
Grayscale,47,60,3.7142455176661224,u12
Grayscale,32,30,0.9068905956085185,u12
Grayscale,43,30,3.6865005271832185,u12
Colored,81,80,-0.19264507794239588,u12
Colored,19,20,0.16992500144231237,u12
Grayscale,71,80,3.189824558880017,u12
Plain,50,50,0.0,u12
Colored,63,70,2.8328900141647417,u12
Grayscale,25,30,2.357552004618084,u12
Colored,55,60,2.357552004618084,u12
Plain,84,80,1.9541963103868751,u12
Plain,99,96,1.5235619560570128,u12
Colored,67,75,3.0223678130284544,u12
Plain,84,80,1.9541963103868751,u12
Grayscale,6,10,2.0443941193584534,u12
Grayscale,88,90,1.0874628412503393,u12
Grayscale,64,75,3.4757334309663976,u12
Grayscale,81,80,-0.19264507794239588,u12
Grayscale,18,30,3.599912842187128,u12
Colored,91,90,-0.19264507794239588,u12
Colored,51,70,4.257387842692652,u12
Colored,10,15,2.357552004618084,u12
