EstimatedValue,ActualValue,DistanceBetweenBars,Visualization,Grid,Markers,User
45,41.2371134,6,"No grid, More markers",No grid,More Markers,Casey
68,71.71717172,2,"No grid, More markers",No grid,More Markers,Jillian
40,43.63636364,1,"No grid, More markers",No grid,More Markers,Lauren
49,52.63157895,3,"No grid, More markers",No grid,More Markers,Sarah
88,84.53608247,0,"No grid, More markers",No grid,More Markers,Mairead
66,69.44444444,3,"No grid, More markers",No grid,More Markers,Mairead
70,66.66666667,3,"No grid, More markers",No grid,More Markers,Ali
70,66.66666667,0,"No grid, More markers",No grid,More Markers,Alec
30,33.33333333,2,"No grid, More markers",No grid,More Markers,Mairead
20,23.33333333,3,"No grid, More markers",No grid,More Markers,Mairead
79,82.25806452,4,"No grid, More markers",No grid,More Markers,Emma
45,48.14814815,5,"No grid, More markers",No grid,More Markers,Mairead
97,100,3,"No grid, More markers",No grid,More Markers,Allie
63,65.85365854,3,"No grid, More markers",No grid,More Markers,Ali
70,72.72727273,5,"No grid, More markers",No grid,More Markers,Casey
33,35.71428571,3,"No grid, More markers",No grid,More Markers,Emma
50,52.7027027,0,"No grid, More markers",No grid,More Markers,Allie
58,60.6557377,0,"No grid, More markers",No grid,More Markers,Lauren
75,72.5,5,"No grid, More markers",No grid,More Markers,Alec
10,12.37113402,6,"No grid, More markers",No grid,More Markers,Allie
75,72.63157895,1,"No grid, More markers",No grid,More Markers,Jillian
50,47.6744186,0,"No grid, More markers",No grid,More Markers,Casey
60,57.69230769,1,"No grid, More markers",No grid,More Markers,Lauren
85,82.69230769,0,"No grid, More markers",No grid,More Markers,Jared
88,85.71428571,3,"No grid, More markers",No grid,More Markers,Ali
37,39.28571429,0,"No grid, More markers",No grid,More Markers,Emma
31,28.75,7,"No grid, More markers",No grid,More Markers,Casey
60,57.77777778,0,"No grid, More markers",No grid,More Markers,Olivia
94,91.80327869,3,"No grid, More markers",No grid,More Markers,Mairead
79,81.15942029,3,"No grid, More markers",No grid,More Markers,Sarah
95,97.14285714,0,"No grid, More markers",No grid,More Markers,Alec
50,47.91666667,2,"No grid, More markers",No grid,More Markers,Olivia
22,20,2,"No grid, More markers",No grid,More Markers,Lauren
70,68.04123711,0,"No grid, More markers",No grid,More Markers,Olivia
27,28.94736842,6,"No grid, More markers",No grid,More Markers,Jillian
50,48.07692308,1,"No grid, More markers",No grid,More Markers,Alec
29,30.86419753,0,"No grid, More markers",No grid,More Markers,Emma
85,86.84210526,2,"No grid, More markers",No grid,More Markers,Jillian
95,96.84210526,2,"No grid, More markers",No grid,More Markers,Jillian
38,36.23188406,8,"No grid, More markers",No grid,More Markers,Sarah
37,38.70967742,0,"No grid, More markers",No grid,More Markers,Jared
28,26.37362637,6,"No grid, More markers",No grid,More Markers,Sarah
30,31.46067416,1,"No grid, More markers",No grid,More Markers,Ali
68,66.66666667,0,"No grid, More markers",No grid,More Markers,Emma
80,81.31868132,0,"No grid, More markers",No grid,More Markers,Allie
36,37.31343284,1,"No grid, More markers",No grid,More Markers,Casey
88,89.28571429,0,"No grid, More markers",No grid,More Markers,Emma
33,34.28571429,7,"No grid, More markers",No grid,More Markers,Olivia
25,23.72881356,2,"No grid, More markers",No grid,More Markers,Jillian
93,94.25287356,0,"No grid, More markers",No grid,More Markers,Lauren
95,93.75,6,"No grid, More markers",No grid,More Markers,Sarah
94,92.75362319,0,"No grid, More markers",No grid,More Markers,Lauren
40,41.2371134,3,"No grid, More markers",No grid,More Markers,Olivia
45,44,2,"No grid, More markers",No grid,More Markers,Jillian
70,69,6,"No grid, More markers",No grid,More Markers,Allie
70,69.04761905,6,"No grid, More markers",No grid,More Markers,Emma
40,40.90909091,0,"No grid, More markers",No grid,More Markers,Sarah
60,60.86956522,0,"No grid, More markers",No grid,More Markers,Jillian
65,64.28571429,0,"No grid, More markers",No grid,More Markers,Jared
45,45.71428571,6,"No grid, More markers",No grid,More Markers,Alec
99,98.38709677,2,"No grid, More markers",No grid,More Markers,Sarah
45,45.45454545,0,"No grid, More markers",No grid,More Markers,Casey
21,21.42857143,1,"No grid, More markers",No grid,More Markers,Ali
83,83.33333333,7,"No grid, More markers",No grid,More Markers,Sarah
25,25.27472527,0,"No grid, More markers",No grid,More Markers,Ali
58,57.73195876,2,"No grid, More markers",No grid,More Markers,Casey
94,93.75,0,"No grid, More markers",No grid,More Markers,Emma
82,81.81818182,0,"No grid, More markers",No grid,More Markers,Emma
54,53.84615385,0,"No grid, More markers",No grid,More Markers,Emma
61,60.86956522,4,"No grid, More markers",No grid,More Markers,Casey
81,81.08108108,2,"No grid, More markers",No grid,More Markers,Ali
16,15.95744681,3,"No grid, More markers",No grid,More Markers,Jillian
80,80,7,"No grid, More markers",No grid,More Markers,Sarah
100,100,0,"No grid, More markers",No grid,More Markers,Casey
25,25,5,"No grid, More markers",No grid,More Markers,Casey
100,100,4,"No grid, More markers",No grid,More Markers,Ali
50,50,0,"No grid, More markers",No grid,More Markers,Allie
