vis,truePercent,reportedPercent,error
Stacked Bar Chart,16.4556962,90,6.202991704
Tree Map,43.63636364,225,7.503735409
Stacked Bar Chart,75.58139535,70,2.512579703
Tree Map,50.63291139,50,-0.399898902
Tree Map,85.71428571,110,4.609442606
Tree Map,65.27777778,66,-0.239187664
Tree Map,87.80487805,100,3.622944632
Stacked Bar Chart,51.35135135,80,4.846676269
Stacked Bar Chart,70.58823529,10,5.923939149
Pie Chart,70.14925373,75,2.314912919
Tree Map,83.33333333,100,4.069673528
Stacked Bar Chart,84,75,3.189824559
Tree Map,87.14285714,100,3.698456632
Tree Map,71.42857143,100,4.842799292
Stacked Bar Chart,47.45762712,50,1.415419518
Stacked Bar Chart,54.76190476,50,2.288920989
Stacked Bar Chart,79.36507937,75,2.166740946
Stacked Bar Chart,48,50,1.087462841
Stacked Bar Chart,39.77272727,50,3.371875625
Tree Map,88.52459016,100,3.536103871
Pie Chart,76.28865979,75,0.499434968
Tree Map,57.30337079,50,2.893045829
Pie Chart,71.21212121,75,1.96823042
Pie Chart,86.20689655,100,3.79889073
Tree Map,52,50,1.087462841
Pie Chart,25,25,0
Tree Map,48.64864865,50,0.562036104
Tree Map,22.72727273,25,1.26166757
Stacked Bar Chart,26.08695652,25,0.277337944
Pie Chart,87.5,100,3.658211483
Pie Chart,87,100,3.714245518
Pie Chart,55.88235294,50,2.586729427
Stacked Bar Chart,62.06896552,50,3.608095466
Tree Map,94.50549451,75,4.295024611
Stacked Bar Chart,18.18181818,25,2.795596951
Tree Map,30.23255814,25,2.421575601
Stacked Bar Chart,54.87804878,50,2.322807519
Pie Chart,48.4375,50,0.754887502
Pie Chart,52.94117647,50,1.616440732
Tree Map,43.20987654,33,3.36944925
Pie Chart,51.04166667,40,3.48112669
Stacked Bar Chart,84.14634146,70,3.835049045
Stacked Bar Chart,53.19148936,40,3.735141888
Stacked Bar Chart,97.14285714,40,5.839653716
Pie Chart,63.38028169,70,2.753758191
Tree Map,76.25,80,1.95419631
Tree Map,43.47826087,35,3.104883584
Pie Chart,84.61538462,70,3.881702264
Pie Chart,48.88888889,35,3.808785458
Stacked Bar Chart,98.18181818,90,3.054295977
Tree Map,21.15384615,10,3.49554758
Pie Chart,72.22222222,60,3.626114607
Pie Chart,53.84615385,30,4.583227449
Stacked Bar Chart,90.27777778,80,3.378896907
Pie Chart,36.58536585,29,2.946799317
Tree Map,64.94845361,70,2.371989904
Stacked Bar Chart,51.28205128,60,3.144527522
Stacked Bar Chart,50,30,4.330916878
Tree Map,60.24096386,60,-1.450226928
Pie Chart,15.15151515,5,3.361279213
Stacked Bar Chart,29.41176471,20,3.253499923
Tree Map,89.33333333,70,4.282316239
Pie Chart,22.35294118,15,2.902641123
Tree Map,71.42857143,80,3.12042304
Stacked Bar Chart,29.88505747,20,3.323378352
Tree Map,56.94444444,40,4.093344199
Stacked Bar Chart,26.59574468,20,2.748621097
Tree Map,100,90,3.339850003
Pie Chart,79.03225806,90,3.471544114
Stacked Bar Chart,80.51948052,90,3.263863639
Stacked Bar Chart,62.66666667,50,3.677132345
Stacked Bar Chart,18.33333333,10,3.080373416
Stacked Bar Chart,88.63636364,100,3.522135663
Tree Map,24.69135802,25,-1.205423683
Tree Map,52.05479452,30,4.471174095
Tree Map,23.59550562,15,3.124411785
Tree Map,75,80,2.357552005
Pie Chart,47.2972973,50,1.499630447
Stacked Bar Chart,83.56164384,90,2.714433724
Tree Map,80.20833333,80,-1.584962501
Pie Chart,72.34042553,80,2.960618179
Stacked Bar Chart,35.29411765,40,2.272286719
Stacked Bar Chart,41.53846154,40,0.734188509
Pie Chart,88.46153846,90,0.734188509
Tree Map,92.75362319,90,1.525378953
Tree Map,74.74747475,90,3.94275144
Tree Map,64.70588235,70,2.438057968
Pie Chart,41.26984127,50,3.146518168
Tree Map,67.5,70,1.392317423
Stacked Bar Chart,82.05128205,80,1.121865545
Pie Chart,80,80,0
Tree Map,41.93548387,25,4.09258666
Pie Chart,10.1010101,10,-2.145540843
Stacked Bar Chart,64,50,3.820178962
Pie Chart,43.47826087,30,3.76588062
Pie Chart,86.36363636,100,3.782551531
Pie Chart,44.44444444,40,2.192018772
Pie Chart,92,100,3.022367813
Stacked Bar Chart,89.53488372,80,3.272005823
Tree Map,40.50632911,30,3.410250067
Stacked Bar Chart,21.05263158,30,3.181479228
Pie Chart,68.96551724,80,3.480198255
Stacked Bar Chart,98.7654321,100,0.443148206
Tree Map,50,60,3.339850003
Tree Map,18.51851852,15,1.865332323
Stacked Bar Chart,26.15384615,25,0.354842717
Stacked Bar Chart,50.53763441,50,-0.593714975
Tree Map,77.92207792,70,3.008465003
Pie Chart,73.73737374,70,1.949487771
Tree Map,45.83333333,40,2.574908836
Stacked Bar Chart,45.83333333,50,2.101538026
Pie Chart,30.3030303,33,1.496702496
Pie Chart,40.84507042,20,4.390259801
Stacked Bar Chart,66.66666667,66,-0.337034987
Tree Map,34.375,35,-0.415037499
Stacked Bar Chart,40.74074074,33,2.975582635
Pie Chart,83.72093023,90,2.678989025
Pie Chart,47.05882353,45,1.12685628
Stacked Bar Chart,21.66666667,15,2.763765654
Pie Chart,79.51807229,85,2.48721047
Tree Map,36.84210526,25,3.581002314
Stacked Bar Chart,88.88888889,97,3.041963293
Tree Map,66.66666667,50,4.069673528
Pie Chart,70,85,3.918863237
Tree Map,89.01098901,90,0.155763464
Tree Map,94,100,2.614709844
Pie Chart,92,100,3.022367813
Stacked Bar Chart,53.7037037,60,2.68286457
Pie Chart,28.23529412,25,1.748587514
Tree Map,75.86206897,80,2.091845716
Tree Map,63.29113924,50,3.745897662
Stacked Bar Chart,40.4040404,50,3.281098735
Stacked Bar Chart,75.71428571,66,3.298553587
Stacked Bar Chart,38.82352941,60,4.412881128
Tree Map,38.23529412,40,0.918161708
Pie Chart,78.72340426,80,0.4870703
Stacked Bar Chart,50,50,0
Pie Chart,64.58333333,50,3.878561873
Stacked Bar Chart,70,95,4.651051691
Tree Map,38.46153846,35,1.842592102
Stacked Bar Chart,89.69072165,95,2.442088464
Pie Chart,44.32989691,33,3.517892569
Pie Chart,14.1025641,20,2.590347133
Tree Map,11.82795699,14,1.199777871
Pie Chart,82.75862069,80,1.527881406
Pie Chart,84.14634146,90,2.579821816
Pie Chart,79.41176471,90,3.421322321
Tree Map,79.45205479,90,3.415886439
Tree Map,78.78787879,70,3.155891486
Tree Map,59.34065934,70,3.43086607
Stacked Bar Chart,58.06451613,50,3.033778214
Pie Chart,24.24242424,25,-0.180207975
Stacked Bar Chart,18,17,0.169925001
Stacked Bar Chart,85.85858586,80,2.581010326
Tree Map,88.04347826,85,1.663790117
Stacked Bar Chart,87.17948718,100,3.694380212
Tree Map,100,100,0
Pie Chart,28.57142857,30,0.635588574
Pie Chart,40,45,2.357552005
Pie Chart,82.5,15,6.079484784
Tree Map,100,6,6.556506055
Stacked Bar Chart,20,40,4.330916878
Stacked Bar Chart,13.63636364,55,5.374644335
Tree Map,77.04918033,20,5.837291873
Pie Chart,35.71428571,33,1.505528033
Tree Map,25.42372881,70,5.482243953
Stacked Bar Chart,31.91489362,28,2.014317303
Pie Chart,28.75,25,1.95419631
Stacked Bar Chart,42.85714286,50,2.861530062
Pie Chart,90.90909091,0,6.508335009
Pie Chart,35.55555556,27,3.117787378
Tree Map,47.61904762,30,4.149263237
Stacked Bar Chart,67.6056338,28,5.312179903
Stacked Bar Chart,92.68292683,8,6.406127212
Pie Chart,45.58823529,40,2.514307947
Stacked Bar Chart,96.62921348,100,1.805617084
Pie Chart,65.51724138,20,5.512297735
Stacked Bar Chart,95.55555556,100,2.192018772
Pie Chart,35.9375,33,1.614709844
Tree Map,34.7826087,60,4.663480758
Stacked Bar Chart,27.36842105,20,2.905624518
Tree Map,22.85714286,75,5.707852108
Tree Map,97.10144928,2,6.573290435
Tree Map,21.05263158,15,2.627053834
Tree Map,68.23529412,20,5.595751114
Stacked Bar Chart,93.5483871,82,3.545151322
Pie Chart,21.81818182,18,1.979360234
Pie Chart,35.18518519,30,2.408762174
Tree Map,58.06451613,55,1.673337574
Pie Chart,55.68181818,50,2.537747862
Stacked Bar Chart,64.9122807,50,3.910471793
Stacked Bar Chart,40,25,3.918863237
Stacked Bar Chart,68.96551724,75,2.622809206
Tree Map,36.84210526,33,1.988086678
Pie Chart,44.30379747,33,3.514601707
Pie Chart,77.52808989,100,4.498053608
Pie Chart,37.5,25,3.658211483
Stacked Bar Chart,68.57142857,80,3.53026698
Stacked Bar Chart,94.28571429,100,2.545791903
Pie Chart,82.65306122,66,4.068504111
Pie Chart,61.8556701,50,3.582636698
Tree Map,65.95744681,50,4.007415012
Pie Chart,66.31578947,75,3.139012732
Stacked Bar Chart,68.08510638,50,4.186667445
Stacked Bar Chart,97.56097561,100,1.358409986
Tree Map,18.91891892,16,1.60592993
Tree Map,57.89473684,50,3.003554897
Tree Map,26.5625,25,0.754887502
Stacked Bar Chart,85.07462687,100,3.91172735
Pie Chart,40.90909091,25,4.003070654
Tree Map,63,50,3.714245518
Pie Chart,15.58441558,12,1.891191909
Stacked Bar Chart,27.02702703,25,1.105696197
Tree Map,51.76470588,33,4.239528334
Tree Map,34.54545455,25,3.273583703
Pie Chart,94.18604651,90,2.108038128
Tree Map,42.22222222,33,3.224537693
Tree Map,92,100,3.022367813
Stacked Bar Chart,20.73170732,12,3.146770444
