vis,truePercent,reportedPercent,error
Stacked Bar Chart,60.6741573,60,-0.323448589
Pie Chart,72.54901961,60,3.663802248
Pie Chart,62.88659794,60,1.590529177
Tree Map,75,60,3.918863237
Stacked Bar Chart,15.87301587,15,-0.002865334
Tree Map,85,100,3.918863237
Pie Chart,62.06896552,60,1.133540851
Pie Chart,30.76923077,25,2.559303546
Pie Chart,58.69565217,50,3.140885328
Tree Map,43.01075269,40,1.648811781
Tree Map,20.27027027,15,2.431695232
Stacked Bar Chart,62.16216216,60,1.193558658
Stacked Bar Chart,24.09638554,20,2.077716598
Tree Map,83.92857143,90,2.631436931
Stacked Bar Chart,64.93506494,65,-2.396421821
Stacked Bar Chart,56.94444444,55,1.049243519
Stacked Bar Chart,79.48717949,70,3.264863588
Stacked Bar Chart,81.08108108,60,4.406406128
Stacked Bar Chart,82.14285714,80,1.181329765
Pie Chart,86.44067797,70,4.050125343
Tree Map,100,100,0
Tree Map,96.77419355,90,2.786427734
Tree Map,89.18918919,100,3.450988285
Stacked Bar Chart,22.85714286,20,1.57634937
Stacked Bar Chart,38,30,3.022367813
Tree Map,38.70967742,40,0.50113091
Stacked Bar Chart,80.41237113,90,3.279861835
Tree Map,82.14285714,80,1.181329765
Pie Chart,90.81632653,90,-0.087232838
Stacked Bar Chart,68.83116883,80,3.497463065
Pie Chart,90.14084507,95,2.317348914
Pie Chart,43.85964912,50,2.647395307
Pie Chart,89.33333333,100,3.431845787
Tree Map,48.88888889,50,0.30580843
Tree Map,57.14285714,65,2.996776099
Pie Chart,69.76744186,50,4.314148477
Pie Chart,84.09090909,90,2.593136432
Stacked Bar Chart,25,25,0
Pie Chart,27.11864407,15,3.613961105
Stacked Bar Chart,38.88888889,33,2.588298213
Pie Chart,77.52808989,80,1.376796078
Pie Chart,96.15384615,100,1.989558253
Tree Map,97.72727273,100,1.26166757
Stacked Bar Chart,40.625,40,-0.415037499
Tree Map,69.6969697,70,-1.224215157
Stacked Bar Chart,30.6122449,25,2.520358102
Stacked Bar Chart,95.18072289,100,2.305759603
Tree Map,36.95652174,25,3.594730277
Stacked Bar Chart,40.81632653,33,2.989380017
Pie Chart,50,38,3.599912842
Stacked Bar Chart,96.90721649,100,1.686067264
Stacked Bar Chart,96.96969697,96,0.130531563
Pie Chart,56.16438356,55,0.366681496
Pie Chart,54.76190476,56,0.446886365
Tree Map,20.3125,20,-1.192645078
Stacked Bar Chart,68.36734694,60,3.086163311
Pie Chart,50,50,0
Stacked Bar Chart,69.76744186,67,1.532287961
Tree Map,64.64646465,87,4.490476131
Pie Chart,68,67,0.169925001
Stacked Bar Chart,59.57446809,52,2.944758781
Tree Map,35.06493506,27,3.033852013
Tree Map,10.86956522,9,0.996074297
Tree Map,75,35,5.326429487
Tree Map,70.40816327,72,0.77975285
Tree Map,44.11764706,38,2.642157902
Stacked Bar Chart,45.55555556,45,-0.555215157
Stacked Bar Chart,52.63157895,50,1.46287892
Stacked Bar Chart,28.26086957,27,0.470791481
Tree Map,58.62068966,33,4.686259011
Pie Chart,22.72727273,25,1.26166757
Tree Map,70,55,3.918863237
Stacked Bar Chart,58.82352941,48,3.452665197
Pie Chart,27.90697674,27,0.04541046
Stacked Bar Chart,68.75,60,3.14974712
Tree Map,87,90,1.64385619
Pie Chart,86.25,66,4.348728154
Pie Chart,45.28301887,47,0.881258284
Pie Chart,50,50,0
Pie Chart,73.73737374,80,2.675279904
Stacked Bar Chart,87.5,80,2.930737338
Pie Chart,43.15789474,37,2.651429409
Pie Chart,70.21276596,70,-1.565904165
Pie Chart,75,85,3.339850003
Stacked Bar Chart,33.33333333,33,-1.125530882
Tree Map,48.95833333,42,2.824428435
Stacked Bar Chart,39.3442623,40,-0.35709015
Stacked Bar Chart,21.34831461,17,2.161344226
Pie Chart,55.12820513,45,3.358003058
Tree Map,34.02061856,30,2.051587378
Pie Chart,53.44827586,45,3.099846566
Stacked Bar Chart,36.11111111,33,1.694261143
Pie Chart,33.33333333,25,3.080373416
Stacked Bar Chart,46.77419355,40,2.786427734
Tree Map,50.50505051,45,2.493147864
Stacked Bar Chart,96.42857143,100,1.886132035
Tree Map,19.19191919,20,-0.099926066
Pie Chart,25.80645161,18,2.987584932
Tree Map,95.65217391,100,2.161186664
Pie Chart,96.96969697,100,1.657778566
Pie Chart,96.90721649,90,2.813979486
Stacked Bar Chart,51.42857143,46,2.473415848
Stacked Bar Chart,85.71428571,80,2.545791903
Tree Map,70.10309278,48,4.474312262
Tree Map,57.40740741,55,1.340509521
Stacked Bar Chart,65.88235294,60,2.586729427
Tree Map,70.3125,65,2.442943496
Tree Map,16.66666667,14,1.48112669
Tree Map,29.6875,17,3.6794801
Tree Map,25.51020408,20,2.494467859
Tree Map,35.71428571,33,1.505528033
Stacked Bar Chart,95,10,6.411510988
Stacked Bar Chart,13.58024691,15,0.627376256
Tree Map,75.30864198,50,4.668666159
Pie Chart,24,33,3.189824559
Pie Chart,38.02816901,33,2.365459911
Tree Map,58.46153846,50,3.102076647
Pie Chart,54,50,2.044394119
Tree Map,52.54237288,50,1.415419518
Stacked Bar Chart,30.3030303,33,1.496702496
Pie Chart,78.57142857,75,1.886132035
Pie Chart,45.45454545,50,2.223562965
Stacked Bar Chart,59.09090909,50,3.204126486
Tree Map,82.71604938,75,2.971046746
Stacked Bar Chart,87.09677419,75,3.611381826
Pie Chart,12.64367816,10,1.46919736
Pie Chart,88.04347826,75,3.719016733
Stacked Bar Chart,51.11111111,30,4.40844769
Tree Map,60.31746032,50,3.384389756
Stacked Bar Chart,13.18681319,5,3.055163229
Tree Map,51.76470588,33,4.239528334
Stacked Bar Chart,60.60606061,50,3.423720767
Pie Chart,91.30434783,100,3.140885328
Stacked Bar Chart,44.44444444,50,2.506032031
Pie Chart,55.40540541,50,2.467385241
Stacked Bar Chart,28,33,2.357552005
Tree Map,35.16483516,33,1.195243749
Pie Chart,72.91666667,50,4.52617317
Tree Map,39.77272727,33,2.786121088
Pie Chart,38.94736842,10,4.861576702
Pie Chart,37.70491803,30,2.968997205
Tree Map,54.54545455,40,3.874841667
Tree Map,94.68085106,90,2.264791939
Tree Map,67.85714286,80,3.616811367
Pie Chart,55.68181818,55,-0.309684499
Stacked Bar Chart,46.66666667,50,1.790076931
Tree Map,17.24137931,15,1.242681344
Pie Chart,46.15384615,40,2.650499463
Stacked Bar Chart,77.5,80,1.392317423
Tree Map,94.93670886,80,3.912813558
Tree Map,88.23529412,90,0.918161708
Pie Chart,67.6056338,60,2.9505867
Pie Chart,28.76712329,10,4.23971295
Pie Chart,80,100,4.330916878
Stacked Bar Chart,45.28301887,25,4.351064233
Tree Map,44.59459459,30,3.879666032
Pie Chart,28.39506173,20,3.090863883
Tree Map,16.66666667,15,0.841302254
Pie Chart,27.77777778,10,4.162111547
Tree Map,58.13953488,40,4.19097311
Stacked Bar Chart,57.37704918,50,2.907284721
Pie Chart,43.90243902,30,3.810179736
Stacked Bar Chart,36.47058824,30,2.721501334
Tree Map,96.59090909,90,2.747582702
Stacked Bar Chart,80.72289157,80,-0.238048319
Stacked Bar Chart,100,100,0
Stacked Bar Chart,50,45,2.357552005
Stacked Bar Chart,59.72222222,60,-1.311944006
Stacked Bar Chart,94.87179487,95,-1.981621471
Stacked Bar Chart,38.98305085,30,3.187142346
Pie Chart,60.24096386,50,3.373782363
Pie Chart,87.20930233,80,2.874659736
Pie Chart,75.51020408,60,3.966726145
Pie Chart,81.81818182,70,3.578115335
Tree Map,44.26229508,30,3.846723475
Pie Chart,30.33707865,20,3.387097616
Tree Map,98.18181818,65,5.057745634
Stacked Bar Chart,31.64556962,20,3.557112234
Stacked Bar Chart,32.22222222,20,3.626114607
Stacked Bar Chart,90.2173913,50,5.334224697
Tree Map,60,50,3.339850003
Tree Map,60.97560976,50,3.472567021
Stacked Bar Chart,80.8988764,80,0.034041573
Pie Chart,98.07692308,75,4.536172482
Tree Map,89.28571429,75,3.849069941
Tree Map,71.71717172,40,4.99286683
Tree Map,74.62686567,65,3.285678254
Pie Chart,96.20253165,40,5.815768347
Pie Chart,72.30769231,40,5.019376885
Tree Map,60.56338028,35,4.683044022
Tree Map,24.52830189,15,3.271022497
Stacked Bar Chart,66.66666667,50,4.069673528
Pie Chart,93.47826087,90,1.849303104
Tree Map,40.98360656,33,3.019454012
Stacked Bar Chart,21.97802198,15,2.828432949
Stacked Bar Chart,73.68421053,80,2.687237536
Stacked Bar Chart,61.9047619,85,4.53731086
Pie Chart,72,90,4.17990909
Stacked Bar Chart,95.87628866,80,4.000116192
Tree Map,75.55555556,40,5.157066173
Tree Map,96.77419355,95,0.925386939
Tree Map,65,50,3.918863237
Tree Map,59.18367347,50,3.218575591
Tree Map,32.05128205,39,2.822468695
Tree Map,44.04761905,35,3.197333724
Tree Map,77.6119403,65,3.670946846
Tree Map,91.89189189,93,0.302299288
Tree Map,95,89,2.614709844
Stacked Bar Chart,50,45,2.357552005
Tree Map,17.24137931,10,2.880955687
Stacked Bar Chart,87.27272727,81,2.677559493
Stacked Bar Chart,54.08163265,43,3.48628094
Stacked Bar Chart,33.76623377,29,2.290198417
Stacked Bar Chart,16.4556962,20,1.875506356
Stacked Bar Chart,96.875,100,1.700439718
Stacked Bar Chart,85.71428571,79,2.77384566
Stacked Bar Chart,42.22222222,42,-1.526068812
Stacked Bar Chart,51.61290323,49,1.453071454
Stacked Bar Chart,97.95918367,86,3.595048112
Pie Chart,39.18918919,45,2.56944511
Pie Chart,44.89795918,37,3.004134458
Pie Chart,89.79591837,84,2.565820963
Pie Chart,85.8974359,91,2.386138848
Pie Chart,70.12987013,76,2.583791007
Pie Chart,79.31034483,96,4.071647288
Pie Chart,46.15384615,42,2.097221808
Pie Chart,64.86486486,63,0.992670458
Pie Chart,19.23076923,9,3.372362816
Pie Chart,81.39534884,57,4.615907598
Stacked Bar Chart,95.23809524,100,2.288920989
Stacked Bar Chart,17.46031746,17,-0.772708779
Tree Map,23,20,1.64385619
Pie Chart,30.43478261,33,1.427722759
Tree Map,46.91358025,50,1.683211247
Pie Chart,85.71428571,90,2.14101231
Pie Chart,10.30927835,10,-1.203308061
Stacked Bar Chart,97.95918367,100,1.114910899
Stacked Bar Chart,89.74358974,75,3.894195912
Pie Chart,95.12195122,100,2.322807519
Tree Map,78.94736842,95,4.015928506
Pie Chart,67.79661017,66,0.942315691
Tree Map,73.17073171,60,3.73289127
Stacked Bar Chart,85.52631579,80,2.498586808
Tree Map,67.74193548,66,0.900672073
Tree Map,82.35294118,85,1.470957872
Tree Map,80,75,2.357552005
Tree Map,74.19354839,100,4.696631064
Stacked Bar Chart,63,55,3.022367813
Pie Chart,74.07407407,70,2.070071238
Stacked Bar Chart,35.78947368,33,1.543235375
Tree Map,62.96296296,50,3.710168666
Pie Chart,91.93548387,100,3.033778214
Pie Chart,90.47619048,100,3.270350953
Stacked Bar Chart,58.24175824,50,3.064668749
Tree Map,39.79591837,33,2.790963488
Pie Chart,71.27659574,66,2.433385673
Stacked Bar Chart,53.22580645,50,1.744508356
Pie Chart,73.07692308,75,1.034269902
Stacked Bar Chart,63.88888889,66,1.160991877
Pie Chart,76.38888889,75,0.598259323
Tree Map,93,100,2.832890014
Tree Map,77.94117647,50,4.81076063
Pie Chart,41.93548387,25,4.09258666
Stacked Bar Chart,21.42857143,12,3.256040159
Stacked Bar Chart,87.62886598,12,6.243247611
Tree Map,95.55555556,90,2.506032031
Tree Map,85.41666667,100,3.878561873
Pie Chart,82.75862069,80,1.527881406
Pie Chart,48.23529412,25,4.545986533
Pie Chart,85.54216867,90,2.196239187
Tree Map,92.30769231,100,2.966671824
Tree Map,29.62962963,25,2.249332964
Tree Map,58,50,3.022367813
Pie Chart,47.43589744,25,4.495752552
Tree Map,46.77419355,25,4.452805838
Pie Chart,46.15384615,25,4.411348018
Stacked Bar Chart,12.5,10,1.392317423
Stacked Bar Chart,62.90322581,50,3.703568725
Tree Map,33.33333333,36,1.48112669
Pie Chart,73.91304348,37,5.210935986
Pie Chart,69.81132075,27,5.424126666
Stacked Bar Chart,92.77108434,2736,11.36815388
Stacked Bar Chart,67.85714286,2636,11.32657996
Stacked Bar Chart,94.04761905,2636,11.31179223
Stacked Bar Chart,93.40659341,26,6.077490693
Pie Chart,91.30434783,363,8.086511262
Tree Map,63.52941176,3636,11.8027569
Stacked Bar Chart,47,3636,11.80941645
Stacked Bar Chart,34.375,3636,11.81448233
Stacked Bar Chart,57.14285714,40,4.110017157
Tree Map,41.02564103,80,5.28907305
Stacked Bar Chart,84.48275862,100,3.967375346
Tree Map,37.28813559,33,2.141804075
Pie Chart,82.4742268,90,2.935605556
Tree Map,86.58536585,90,1.823600252
Pie Chart,17.39130435,10,2.910023485
Tree Map,32.25806452,35,1.519509439
Pie Chart,65,90,4.651051691
Stacked Bar Chart,76.04166667,95,4.254241287
Stacked Bar Chart,44.82758621,33,3.579250906
Tree Map,28.20512821,25,1.73557772
Tree Map,18.18181818,12,2.656912343
Pie Chart,30.55555556,25,2.506032031
Pie Chart,39.79591837,33,2.790963488
Stacked Bar Chart,55.93220339,50,2.598651855
Tree Map,93.87755102,100,2.643267214
Pie Chart,65.06024096,80,3.913105692
Stacked Bar Chart,56.66666667,80,4.552028611
Pie Chart,46.83544304,50,1.717893295
Tree Map,70,75,2.357552005
Stacked Bar Chart,48.71794872,50,0.492674911
Stacked Bar Chart,84.14634146,100,3.998074389
Stacked Bar Chart,56.52173913,85,4.838107723
Tree Map,79.7752809,95,3.940140349
Tree Map,36.17021277,25,3.497639542
Pie Chart,71.66666667,85,3.750427854
Pie Chart,46.15384615,60,3.804379269
Pie Chart,73.25581395,95,4.45082762
Stacked Bar Chart,36.36363636,50,3.782551531
Tree Map,52.77777778,55,1.230954435
Tree Map,36.53846154,30,2.736271824
Tree Map,100,0,6.645658432
Tree Map,22.78481013,20,1.540925016
Tree Map,52.27272727,45,2.887082115
Tree Map,58.69565217,50,3.140885328
Tree Map,64.1025641,33,4.964748132
Tree Map,76.92307692,0,6.267687043
Stacked Bar Chart,76,45,4.960001932
Tree Map,53.06122449,51,1.12844155
Tree Map,71.79487179,75,1.73557772
Stacked Bar Chart,14.63414634,20,2.457030461
Stacked Bar Chart,100,50,5.647458426
Stacked Bar Chart,32.96703297,13,4.328551642
Stacked Bar Chart,73.19587629,30,5.436990521
Stacked Bar Chart,54.32098765,15,5.301806655
Pie Chart,80.68181818,0,6.336405122
Stacked Bar Chart,35.0877193,40,2.332645127
Pie Chart,80.3030303,0,6.329626483
Stacked Bar Chart,32,33,0.169925001
Pie Chart,94.25287356,0,6.560376761
Stacked Bar Chart,32.58426966,65,5.024174726
Pie Chart,77.38095238,0,6.276235207
Pie Chart,42.68292683,50,2.895704575
Stacked Bar Chart,35.71428571,33,1.505528033
Pie Chart,78.46153846,80,0.734188509
Pie Chart,24.48979592,20,2.206266849
Pie Chart,83.58208955,95,3.528935128
Pie Chart,94.68085106,0,6.566904195
Pie Chart,37.5,33,2.209453366
Stacked Bar Chart,36,50,3.820178962
Tree Map,43.33333333,66,4.510434522
Tree Map,78.26086957,40,5.262503425
Tree Map,65.38461538,35,4.931192088
Stacked Bar Chart,21.53846154,15,2.736271824
Tree Map,52.17391304,40,3.620458913
Tree Map,54.08163265,30,4.597330497
Stacked Bar Chart,57.95454545,40,4.176286502
Stacked Bar Chart,89.0625,45,5.465566405
Tree Map,32.65306122,30,1.474078395
Pie Chart,38.55421687,20,4.223362066
Stacked Bar Chart,26.53061224,25,0.727364824
