Result,Trial,ChartType,CorrectAnswer,SubjectAnswer
3,22,RadarChart,47,33
3,23,TreeMap,20,25
3,24,BarChart,69,70
3,25,RadarChart,28,20
3,26,TreeMap,37,33
3,27,BarChart,96,98
3,28,RadarChart,21,15
3,29,TreeMap,43,33
3,30,BarChart,31,22
3,31,RadarChart,67,50
3,32,TreeMap,30,25
3,33,BarChart,88,90
3,34,RadarChart,80,90
3,35,TreeMap,46,33
3,36,BarChart,76,80
3,37,RadarChart,87,90
3,38,TreeMap,79,75
3,39,BarChart,65,60
3,40,RadarChart,79,85
3,41,TreeMap,88,100
3,42,BarChart,33,25
3,43,RadarChart,73,60
3,44,TreeMap,30,20
3,45,BarChart,23,25
3,46,RadarChart,24,15
3,47,TreeMap,25,25
3,48,BarChart,36,33
3,49,RadarChart,56,45
3,50,TreeMap,53,50
3,51,BarChart,85,90
3,52,RadarChart,76,80
3,53,TreeMap,20,15
3,54,BarChart,74,75
3,55,RadarChart,78,80
3,56,TreeMap,40,33
3,57,BarChart,69,67
3,58,RadarChart,35,33
3,59,TreeMap,90,95
4,0,BarChart,17,18
4,1,RadarChart,47,40
4,2,TreeMap,96,90
4,3,BarChart,24,20
4,4,RadarChart,98,95
4,5,TreeMap,69,90
4,6,BarChart,50,50
4,7,RadarChart,31,30
4,8,TreeMap,69,45
4,9,BarChart,78,80
4,10,RadarChart,35,30
4,11,TreeMap,37,25
4,12,BarChart,64,60
4,13,RadarChart,34,30
4,14,TreeMap,92,90
4,15,BarChart,40,40
4,16,RadarChart,55,50
4,17,TreeMap,90,100
4,18,BarChart,80,80
4,19,RadarChart,45,30
4,20,TreeMap,56,50
4,21,BarChart,80,78
4,22,RadarChart,46,30
4,23,TreeMap,51,50
4,24,BarChart,54,55
4,25,RadarChart,25,20
4,26,TreeMap,63,70
4,27,BarChart,58,60
4,28,RadarChart,95,98
4,29,TreeMap,79,80
4,30,BarChart,17,15
4,31,RadarChart,75,70
4,32,TreeMap,72,60
4,33,BarChart,64,60
4,34,RadarChart,47,50
4,35,TreeMap,54,45
4,36,BarChart,24,20
4,37,RadarChart,15,10
4,38,TreeMap,41,20
4,39,BarChart,90,90
4,40,RadarChart,14,10
4,41,TreeMap,52,60
4,42,BarChart,95,95
4,43,RadarChart,97,100
4,44,TreeMap,29,15
4,45,BarChart,84,80
4,46,RadarChart,93,90
4,47,TreeMap,48,50
4,48,BarChart,65,60
4,49,RadarChart,96,90
4,50,TreeMap,65,80
4,51,BarChart,45,50
4,52,RadarChart,91,90
4,53,TreeMap,42,20
4,54,BarChart,31,25
4,55,RadarChart,22,20
4,56,TreeMap,80,45
4,57,BarChart,16,15
